Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4E6Lrumen3polztKJEbZbm,"Past Tense","Immutable","Meshuggah",2022-03-31,346189,27,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:40Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.604,0.0201,5,-25.085,1,0.0433,0.618,0.909,0.12,0.0389,99.983,4
spotify:track:65k6bKCU7VxEcy1neXVyza,"Clockworks","The Violent Sleep of Reason","Meshuggah",2016-10-07,435040,42,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:47Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.431,0.98,10,-5.313,0,0.107,0.00000201,0.831,0.289,0.366,129.935,1
spotify:track:4Y0JHlM5GW6cGGo6vgRrnc,"Born in Dissonance","The Violent Sleep of Reason","Meshuggah",2016-10-07,274586,49,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:47Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.264,0.986,11,-5.059,1,0.102,0.00000409,0.00625,0.0535,0.227,106.161,4
spotify:track:04hSWa7opwdGfuTnUHhjgU,"Monstrocity","The Violent Sleep of Reason","Meshuggah",2016-10-07,373520,35,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:47Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.426,0.955,9,-5.402,1,0.0606,0.00000165,0.572,0.609,0.292,100,3
spotify:track:6gqiVphV7crsaNwsh5vHAv,"By the Ton","The Violent Sleep of Reason","Meshuggah",2016-10-07,364253,34,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:47Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.512,0.963,7,-5.422,0,0.0553,0.000004,0.0507,0.0808,0.426,131.993,3
spotify:track:77pouAYPEXkn77Oh8bDD6F,"Violent Sleep of Reason","The Violent Sleep of Reason","Meshuggah",2016-10-07,411253,35,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:47Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.404,0.988,0,-5.515,1,0.0685,0.00000195,0.702,0.2,0.179,97.482,4
spotify:track:2R86uvzeqgpIeb29HX7iJw,"Ivory Tower","The Violent Sleep of Reason","Meshuggah",2016-10-07,299600,31,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:47Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.149,0.982,1,-5.194,1,0.113,0.00000126,0.0311,0.173,0.143,144.701,4
spotify:track:4HQ8iEhdEdQeGQVvQam3AM,"Stifled","The Violent Sleep of Reason","Meshuggah",2016-10-07,391413,31,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:47Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.421,0.877,3,-5.753,0,0.0611,0.000364,0.593,0.131,0.0503,94.997,4
spotify:track:3Z8OjvFPwbdzXZRPsOXuzv,"Nostrum","The Violent Sleep of Reason","Meshuggah",2016-10-07,315440,31,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:47Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.392,0.983,7,-5.015,0,0.126,0.00000456,0.667,0.217,0.19,150.087,3
spotify:track:5RBfnIqTDTvg5tOQoY7iZf,"Our Rage Won't Die","The Violent Sleep of Reason","Meshuggah",2016-10-07,281693,34,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:47Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.374,0.994,11,-4.829,1,0.0873,0.0000017,0.00578,0.179,0.234,152.021,4
spotify:track:5tDNpA8cD1slXFTzAvCpoy,"Into Decay","The Violent Sleep of Reason","Meshuggah",2016-10-07,392146,29,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:47Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.258,0.982,10,-5.825,0,0.0832,0.00000218,0.475,0.116,0.159,129.982,4
spotify:track:0KtjSPn0W2hM0aAvPpeIp6,"I Am Colossus","Koloss","Meshuggah",2012-02-09,283493,39,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:45:06Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.389,0.956,3,-4.316,0,0.0693,0.00000796,0.0992,0.265,0.22,180.075,3
spotify:track:0ImWhuBYfLjHZ9ZqF7hRtR,"The Demon's Name Is Surveillance","Koloss","Meshuggah",2012-02-09,279333,44,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:45:06Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.347,0.924,8,-3.996,1,0.0735,0.000001,0.928,0.243,0.185,161.962,3
