TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
179.815328798,-208.367,16.2323,-22.2882,9.08574,-1.84679,11.3022,-4.74493,16.1121,-1.87638,13.7098,-3.27631,7.95354,-4.33684,6.60621,-4.32415,6.39152,-5.36658,3.6415,-5.10363,2.41294,-0.151457
179.838548753,-190.825,5.9439,-14.0023,6.11295,-2.09967,6.77395,-3.87162,8.96706,-3.70591,7.7531,0.239713,3.88885,-3.11487,5.29294,-1.71929,5.6312,-2.35964,2.87992,-3.28068,1.47996,-3.20661
179.861768707,-185.072,-1.47729,-13.8581,6.40859,-2.74003,6.4765,-4.84811,8.23759,-1.54715,5.93624,-0.745601,1.80142,-3.61315,4.92548,-3.90234,3.39402,-4.06283,0.094395,-5.68132,0.627501,-1.98884
179.884988662,-190.056,-1.00847,-15.0962,5.39083,-0.291668,10.2068,-1.79301,7.29985,0.307008,6.16594,0.732236,3.05858,-5.25438,0.958573,-5.36233,3.19143,-1.9783,1.83887,-4.49948,-0.871329,-3.59367
179.908208617,-180.062,7.54692,-10.7801,6.731,0.0564222,4.74431,-5.3326,1.44479,-1.57301,2.7697,-2.98182,1.56007,-3.68243,1.35716,-2.29709,3.16952,-1.41067,1.80525,-2.79234,0.93409,-2.06182
179.931428571,-169.518,-0.0443757,-8.66895,2.53609,4.99274,6.57312,-0.530461,7.38392,2.68076,8.11302,-1.72039,1.53477,-2.85807,1.19445,-1.37837,0.629968,-3.19317,-0.745925,-2.51178,-1.17348,-2.99177
179.954648526,-179.607,-4.90799,-6.10362,4.74292,4.95852,6.13131,-1.43417,8.66602,-0.912349,5.81748,-0.571226,4.42253,-1.34697,2.64029,-0.57026,2.62615,-2.73973,1.06971,-1.91344,1.65963,-2.1352
179.977868481,-180.81,0.0327545,-8.73501,6.12265,5.05772,4.97712,-2.82389,4.01218,0.0511094,4.67456,-2.95476,1.10856,-2.646,3.27131,-2.78509,4.76073,-0.911537,1.52257,-1.17386,-0.396772,-4.34119
180.001088435,-186.268,3.89526,-10.6015,5.6827,4.46069,5.46127,-0.195051,7.72184,2.12988,6.49557,-1.3368,2.34328,-1.86975,3.47159,0.351135,2.43539,-1.88981,2.55951,0.615363,2.9006,-2.90879
180.024308390,-199.195,7.97189,-9.50885,5.13921,5.30285,7.11465,2.66169,7.77234,1.58435,6.18926,-3.6715,1.89186,-2.84979,0.543744,2.01317,5.39877,-0.324385,2.8924,-0.519557,1.1028,-2.86109
