TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
99.149206349,0.770443,1.05409,0.0672009,0.553766,1.9029,0.0755962,1.48143,0.21321,0.0727119,0.162742,1.73923,1.06225
99.195646259,0.661791,1.66033,0.0728138,0.636671,2.00666,0.155094,1.39423,0.299235,0.0839751,0.117959,1.70259,0.520168
99.242086168,0.415664,1.88635,0.0870991,0.724202,1.55081,0.367307,1.13962,0.630357,0.106651,0.117046,0.743806,0.267505
99.288526077,0.507956,1.69543,0.0166456,0.83611,1.23208,0.197566,1.18896,0.309614,0.128771,0.174126,0.625849,0.0770378
99.334965986,0.647859,1.24548,0.0565624,0.709871,1.16908,0.303541,1.72465,0.559545,0.1326,0.128597,0.533207,0.000558648
99.381405896,0.549184,1.03611,0.128591,0.702695,0.549924,0.220452,2.09316,0.504493,0.10402,0.126878,0.920975,0.000437184
99.427845805,0.845195,0.898792,0.143966,0.956709,0.0361967,0.0777731,2.12363,0.17838,0.082033,0.193195,0.894339,0.112825
99.474285714,1.05352,0.891882,0.0485005,1.31058,0.00294077,0,1.8639,0.157449,0.0707437,0.275887,0.983438,0.312966
99.520725624,0.845178,0.682447,0.17594,1.20147,0.112813,0.0245835,1.6576,0.273336,0.215686,0.202447,1.61613,0.0474809
99.567165533,0.713939,0.869527,0.370446,0.793366,0.549678,0.0915173,1.14493,0.595588,0.118194,0.266566,1.83866,0.000333718
99.613605442,0.35214,1.08862,0.83924,0.674657,0.570157,0.265,0.593514,0.650065,0.0237802,0.198101,1.33938,0.883409
99.660045351,0.150935,0.896404,0.561886,0.83656,0.472173,0.239387,0.796822,0.959285,0.0664501,0.220278,0.742322,1.10002
99.706485261,0.0831906,0.852607,0.194409,0.658832,0.406721,0.157772,1.24799,0.910567,0.0899282,0.322996,0.693212,0.921754
99.752925170,0.239289,0.854289,0.291562,0.459412,0.178905,0.143204,1.38903,0.525629,0.0963824,0.33845,0.911132,0.497007
99.799365079,0.508629,0.897721,0.277187,0.804098,0.30262,0.336947,1.44342,0.218121,0.105876,0.151447,1.39636,0.0519698
99.845804989,0.559948,1.70927,0.196515,0.721082,0.49349,0.503334,1.03002,0.20461,0.0906724,0.154297,2.24171,0.137985
99.892244898,0.278286,1.79442,0.236054,0.551946,0.88894,0.248459,0.71334,0.16961,0.065013,0.460067,2.76182,0.159819
99.938684807,0.133068,1.65225,0.215721,0.484824,0.950582,0.0693273,0.81526,0.342332,0.0802795,0.443905,2.75241,0.0460369
99.985124717,0.147205,1.42353,0.115005,0.994546,0.418999,0.199663,0.768634,1.04742,0.0706124,0.312082,1.97825,0.228407
100.031564626,0.0830451,1.23987,0.0464531,1.2578,0.0704032,0.0994096,1.09066,1.60774,0.333671,0.139042,1.24894,0.690433
100.078004535,0.130578,0.809263,0.0803699,1.18069,0.129966,0,1.69416,1.81302,0.0846263,0.118205,1.07094,0.726629
100.124444444,0.286659,1.2314,0,0.987598,0.51557,0,1.60694,1.3162,0.0841219,0.0982659,1.57466,0.46366
100.170884354,0.526194,0.947086,0,0.990739,0.899877,0.037906,1.55759,0.864507,0.0888775,0.366438,1.20861,0.711447
100.217324263,0.53888,0.72894,0.0120197,0.931718,0.81948,0.0454517,1.72557,0.516567,0.0879715,0.596355,0.899481,0.876697
100.263764172,0.013651,0.958332,0.138702,0.715114,0.807012,0.0308147,1.76368,0.461072,0.0309831,0.441662,1.35542,0.881076
100.310204082,0.0149725,1.29117,0.126482,0.0982023,0.931821,0.118894,1.9856,0.234562,0.0279526,0.481536,1.81471,0.502929
100.356643991,0.0561089,1.54581,0.0858599,0.172062,0.892386,0.270764,1.99281,0.301289,0.0250889,0.490375,1.97985,0.0390081
100.403083900,0.147004,1.22443,0.130274,0.617951,0.397754,0.566488,1.73656,0.601588,0.0494251,0.54754,1.6464,0.115946
100.449523810,0.0931484,1.13007,0.253895,0.889169,0.167088,0.632834,1.29709,0.709052,0.0452634,0.235351,1.65437,0.475774
100.495963719,0.451423,1.27626,0.381898,0.980903,0.325706,0.842219,1.08677,0.616709,0.0297122,0.15447,1.73094,0.390547
100.542403628,0.598596,1.35358,0.159359,0.916715,0.152832,0.608156,1.24607,0.51016,0.00356173,0.120046,1.82305,0.122516
100.588843537,0.829656,0.898348,0.0644837,1.49241,0.0343677,0.44123,0.993225,0.187768,0.00228324,0.440335,1.33381,0.272294
100.635283447,1.2006,0.156704,0.0918391,1.46359,0.0258307,0.354064,1.32806,0,0,0.664647,1.45657,0.505049
